strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
db3e8210-bd5b-4124-a3f4-5fada3aad004,crop_king,White Wedding Strain,,Crop King Seeds,Low,0.2,0.1,0.1-0.2%,,,"White Wedding is a balanced hybrid with 25% THC, offering growers an easy-to-grow strain that delivers a potent, smooth, and well-rounded high.",,,,,7-8 weeks,,,to elevate your cultivation experience,Medium (5 to 8 FT),Medium (5 to 8 FT),,,True,html/265a33cd96ed9f5c.html,,2026-01-13T11:14:53.378374,,https://www.cropkingseeds.com/feminized-seeds/white-wedding-strain-feminized-marijuana-seeds/,,,24.0,25%,28.0,20.0,20-28%,,14 oz/m2,18 Ã¢ÂÂ 21 oz/plant,Crop King
c1d3b9cc-bcf7-4839-8a15-c6e7c8af9dc4,crop_king,Ice Cream Sundae Strain,,Crop King Seeds,1%,0.2,0.1,0.1-0.2%,,,"Ice Cream Sundae is a deliciously unique strain that offers a rewarding cannabis experience, perfect for elevating your growth and enjoyment.",,,,,8-9 weeks,,,Sundae Driver and Gelato 33,Medium (5 to 8 FT),Medium (5 to 8 FT),,,False,html/22849d10d0d1d429.html,,2026-01-13T11:14:53.692892,,https://www.cropkingseeds.com/feminized-seeds/ice-cream-sundae-strain-feminized-marijuana-seeds/,,,22.5,18-22%,25.0,20.0,20-25%,,425g/m2,550g/plant,Crop King
96f5ec5c-4030-4cbd-9edb-70bd824276bd,crop_king,Watermelon Sorbet Strain,,Crop King Seeds,0%,1.2,0.48,0.48-1.2%,,,"Watermelon Sorbet is a balanced hybrid with 18% THC, offering a refreshing, euphoric high thatÃ¢ÂÂs smooth and energizing without heavy sedation.",,,,,8-9 weeks,,,Watermelon Zkittlez and Sherbert,Small (0-4 FT),Medium (5 to 8 FT),,,False,html/b6f7a5d4ff50075f.html,,2026-01-13T11:14:53.970014,,https://www.cropkingseeds.com/feminized-seeds/watermelon-sorbet-strain-feminized-marijuana-seeds/,,,18.0,18%,19.0,17.0,17-19%,,400-500 g/m2,16 oz/plant,Crop King
e6c01a36-ab62-4b71-8871-e2a7f0352e7a,crop_king,Grape Stomper Strain,,Crop King Seeds,Up to 1%,0.6,0.43,0.43-0.6%,,,"Grape Stomper is a slightly Sativa-dominant hybrid with 16-22% THC and up to 1% CBD, offering growers a rewarding and balanced cultivation experience.",,,,,7-8 weeks,,,"make it a breeze to grow, especially for those with a bit of experience under their belt, and its flowering period of 9-",Medium (5 to 8 FT),Medium (5 to 8 FT),,,True,html/dda8bcbc975a1896.html,,2026-01-13T11:14:54.297802,,https://www.cropkingseeds.com/feminized-seeds/grape-stomper-strain-feminized-marijuana-seeds/,,,23.0,16%-22%,29.0,17.0,17-29%,,400-600g/mÃÂ²,550-900g/plant,Crop King
d17251af-a858-486f-9d42-cff5a8e799b1,crop_king,Blockhead,,Crop King Seeds,Low,0.2,0.1,0.1-0.2%,,,"Blockhead Feminized is an indica-dominant strain with 17-23% THC, blending Sweet Tooth and a mystery variety for a smooth, balanced experience.",,,,"Blueberry, Lemon, Pine, Sweet",8-9 weeks,,,Sweet Tooth x Unknown Strain,Small (0-4 FT),Medium (5 to 8 FT),,,True,html/cea8cba560aa2754.html,,2026-01-13T11:14:54.711186,,https://www.cropkingseeds.com/feminized-seeds/blockhead-feminized-seeds/,,,24.0,17-23%,28.0,20.0,20-28%,,Heavy yield (approximately 500 grams/mÃ¢ÂÂ´),High yield (approximately 600 grams/plant),Crop King
4f9e512e-9ffa-441f-bdf0-fdf3c5825608,crop_king,Dutch Treat,,Crop King Seeds,0.20%,4.0,1.5,1.5-4%,,,"Dutch Treat autoflower seeds offer a woody-pine flavor, 10Ã¢ÂÂ15% THC, an 8Ã¢ÂÂ10 week finish, and high indoor yields for compact, resinous plants.",,,,"Earthy, Fruity, Herbal, Pine, Spicy, Sweet",8-9 weeks,,,Northern Lights x Haze x Ruderalis,Small (0-4 FT),Small (0-4 FT),,,True,html/8b907b9e329fad35.html,,2026-01-13T11:14:55.095343,,https://www.cropkingseeds.com/autoflowering-seeds/dutch-treat-autoflowering-marijuana-seeds/,,"Myrcene, Ocimene, Terpinolene",13.5,10-15%,16.0,11.0,11-16%,,400-500g/m2,10-200g/plant,Crop King
d6e029d0-6ade-4697-b079-ee70ad07ea13,crop_king,Face Fat,,Crop King Seeds,,0.56,0.3,0.3-0.56%,,,"Face Fat autoflowering feminized seeds produce a potent, fuel-flavored indica with 16Ã¢ÂÂ26% THC and a fast 9Ã¢ÂÂ10 week flowering time, ideal for autoflower",,,,Fuel,8-9 weeks,,,GMO Auto x Fatso Auto,,,,,True,html/f6f3309217956be1.html,,2026-01-13T11:14:55.434689,,https://www.cropkingseeds.com/autoflowering-seeds/face-fat-strain-autoflowering-feminized-marijuana-seeds/,,,26.0,16-26%,27.0,25.0,25-27%,,,,Crop King
8da9ed7d-f4d2-495a-862e-a8bf6610af84,crop_king,Tidal Wave Strain,,Crop King Seeds,0.50%,0.2,0.1,0.1-0.2%,,,"Tidal Wave is a sativa-dominant hybrid known for its dense, frosty buds and high yields, making it ideal for both beginner and experienced growers.",,,,,8-9 weeks,,,comes directly from the celebrated B+ and Penis Envy varieties,Small (0-4 FT),Small (0-4 FT),,,False,html/e37dc9526d316142.html,,2026-01-13T11:14:55.738666,,https://www.cropkingseeds.com/feminized-seeds/tidal-wave-strain/,,,24.0,16%,29.0,19.0,19-29%,,500 g/m2,250-400 g/plant,Crop King
761cf026-a262-46ee-a6a5-c6630bc2f305,crop_king,Supernova Strain,,Crop King Seeds,low,0.56,0.23,0.23-0.56%,,,"Supernova Strain is an Indica-dominant hybrid from Blueberry and Mazar I Sharif, prized for high yields, frosty buds, and strong pest resistance.",,,,,9-10 weeks,,,ing of the legendary Blueberry and Mazar I Sharif,Medium (5 to 8 FT),Medium (5 to 8 FT),,,False,html/daf88daf1c4e1605.html,,2026-01-13T11:14:55.993051,,https://www.cropkingseeds.com/feminized-seeds/supernova-strain/,,,24.0,14-25%,28.0,20.0,20-28%,,550-600g/m2,500g/plant,Crop King
e6b7f041-d193-4d11-944e-cdace6225cd8,crop_king,Purple Pineapple Strain,,Crop King Seeds,1%,12.0,10.0,10-12%,,,"Purple Pineapple is an Indica-dominant hybrid blending sweet Pineapple Express flavors with the rich, deep purple tones of The Purps for a tropical escape.",,,,,8-10 weeks,,,"make it even easier to cultivate, ensuring that your plants focus on producing dense, potent buds",Medium (5 to 8 FT),Medium (5 to 8 FT),,,False,html/3306084d6e924cb3.html,,2026-01-13T11:14:56.272138,,https://www.cropkingseeds.com/feminized-seeds/purple-pineapple-strain-feminized-marijuana-seeds/,,,18.0,17-21%,20.0,16.0,16-20%,,400 g/m2,550 g/plant,Crop King
