seed_bank,source_url,scraped_at,strain_name,thc_content,flowering_time_min,flowering_time_max,flowering_time,effects,primary_effect,flavors,primary_flavor,genetics,climate,meta_description,total_fields,indica_percentage,sativa_percentage,difficulty,height_min,height_max,height_range,yield_min,yield_max,yield_range
ILGM,Unknown,2026-01-15T18:07:03.281665,LA Kush Cake,20,8,9,8-9 weeks,"relaxing, euphoric, sleepy, happy",relaxing,sweet,sweet,Wedding Cake x Kush Mints,Outdoor,"LA Kush Cake is a high potency cannabis that delivers happy, relaxed effects. | Free Discreet Shipping",15,,,,,,,,,
ILGM,Unknown,2026-01-15T18:07:05.046203,LA Confidential,23,,,,"relaxing, euphoric, sleepy, happy",relaxing,"earthy, sweet, pine, spicy",earthy,", celebrated for dense, frosty buds, old-school pine, and a deeply relaxing body high",Outdoor,"LA Confidential is a classic DNA Genetics indica with relaxing, euphoric effects | Free Discreet Shipping",12,,,,,,,,,
ILGM,Unknown,2026-01-15T18:07:05.416606,Strawberry Cough,26,,,,"euphoric, uplifting, happy",euphoric,"earthy, sweet, fruity, spicy",earthy,of reproduction for Strawberry Cough seed breeding,Outdoor,Buy Strawberry Cough seeds for a low maintenance grow. Strawberry Cough feminized marijuana seeds are of the kind that thrive in the outdoors!,14,20,80,,,,,,,
ILGM,Unknown,2026-01-15T18:07:11.643772,Alien Haze,33,,,,"creative, happy",creative,sweet,sweet,", Alien Haze throws out subtle purples and deep forest greens adorned with frosty peak-like dense bu",Outdoor,Shop for Alien Haze Feminized Seeds! Top-quality Photoperiod cannabis seeds with fast shipping and great yields.,12,,,,,,,,,
ILGM,Unknown,2026-01-15T18:07:16.001784,Strawberry Kush,20,8,9,8-9 weeks,"relaxing, euphoric, creative, uplifting, sleepy, happy, focused",relaxing,"earthy, sweet, pine",earthy,with Strawberry Cough × OG Kush roots; Strawberry Kush is a strain most growers would recognise,Outdoor,Strawberry Kush is compact and easy to train with a strawberry-candy aroma. Buy Strawberry Kush seeds | Free Discreet Shipping,15,,,,,,,,,
ILGM,Unknown,2026-01-15T18:07:18.252903,Tokyo Sweet,33,8,9,8-9 weeks,"relaxing, focused",relaxing,"earthy, sweet, pine, diesel",earthy,"of Tokyo Snow × Bittersweet, she blends old-school Chem Dog funk with new-school purple frost and we",,"Discover Tokyo Sweet, a limited-edition hybrid from Certified Seeds. 30–33% THC, gas-and-garlic aroma, purple frost buds, and massive yields—exclusive at ILGM.",14,,,,,,,,,
ILGM,Unknown,2026-01-15T18:07:19.159716,Tropicana Cookies,20,,,,"relaxing, uplifting, energetic, happy, focused",relaxing,"sweet, citrus",sweet,Tangie x GSC,Outdoor,"Tropicana Cookies is a citrus-cookie flavored cannabis with energetic, focused effects | Free Discreet Shipping",13,,,Moderate,,,,,,
ILGM,Unknown,2026-01-15T18:07:20.976874,Blueberry Autoflower,15,,,,"relaxing, sleepy, happy",relaxing,"sweet, pine",sweet,"Blueberry x LowryderEffectsEuphoric, Happy, Relaxed, SleepyYield Potential455 gr/m²Taste and AromaBl",Outdoor,Fruity and potent Blueberry Auto delivers a calming Indica high. Ideal for stress relief. ✅ Free & discreet delivery. From $9.45 per seed,12,,,,,,,,,
ILGM,Unknown,2026-01-15T18:07:21.313339,Blackberry Kush,20,,,,"relaxing, euphoric, happy",relaxing,"earthy, sweet, diesel, fruity",earthy,between Blackberry hybrid and Afghani indica,Outdoor,Blackberry Kush is a popular indica-dominant strain to relax to. Buy Blackberry Kush seeds for growing a compact plant indoors. Guaranteed germination!,14,80,20,,,,,,,
ILGM,Unknown,2026-01-15T18:07:22.647603,Jack Herer Autoflower,23,10,12,10-12 weeks,"creative, uplifting, energetic",creative,"earthy, citrus, pine, spicy",earthy,"and terpenes like terpinolene, pinene, and caryophyllene drive the clear, upbeat feel",Outdoor,"Jack Herer Autoflower is a cannabis icon with Cannabis Cup heritage, bringing creative, energetic uplift | Free Discreet Shipping",15,,,,,,,,,
