strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw
8d631dc2-cd74-4bba-8766-bd0be23e598d,amsterdam,Green Crack Autoflower Seeds,,,,,,,,"Mediterranean, Temperate",Green Crack is a marijuana strain that will turn the laziest person into a powerful battery with its energetic effect and fabulous aroma.,Easy,,energetic,herbs,6-10 weeks,,,,,,,20.0,,html/00160a0bef553823.html,80.0,2026-01-14,Sativa,https://amsterdammarijuanaseeds.com/green-crack-autoflower-seeds/,,,,22.0,,,,,,
198f29fa-2d88-4045-9e48-f43c01a6380c,amsterdam,Gipsy King Feminized Seeds,,,,,,,,"Continental, Mediterranean, Temperate, Warm Dry","Prepare to be amazed by Gipsy King, a regal hybrid that combines the legendary genetics ofMOAB (Mother of all Buds)and our most powerful Kush. This carefully bred strain strikes the perfect balance between 60% Indica and 40% Sativa, delivering a versatile experience that caters to both mind and body. Whether youÃ¢ÂÂre seeking creativity, focus, or relaxation, Gipsy King offers a well-rounded high that satisfies seasoned users and novices alike.",Moderate,,energetic,pine,8-12 weeks,,,of  MOAB (Mother of all Buds)  and our most powerful Kush,,,,,,html/03e2205750e9e2d5.html,,2026-01-14,Hybrid,https://amsterdammarijuanaseeds.com/gipsy-king-feminized-seeds/,,,,29.0,,,,,,
15ebe342-0c62-48b7-96ee-df8d2118c1b2,amsterdam,Medijuana Seeds,,,,,,,,"Mediterranean, Temperate, Tropical","Medijuana cannabis seeds are a versatile and easy-to-grow plant that provides high-quality results. Medijuana is a hybrid of Indica and Sativa, making it the perfect choice for those who want the best of both worlds. Its effects are uplifting and euphoric, and can also be used for medicinal purposes. These characteristics make this strain very popular among medical marijuana users.","Easy, Moderate",,energetic,herbs,6-10 weeks,,,"and potent effects, itÃ¢ÂÂs sure to give you an enjoyable experience",,,,60.0,,html/049f25a5dcfdc3f2.html,40.0,2026-01-14,Hybrid,https://amsterdammarijuanaseeds.com/medijuana-seeds/,,,,23.0,,,,,,
9311b1bf-2fb3-4334-a9a0-f1d7bd11372d,amsterdam,Light Of Jah Feminized Seeds,,,,,,,,"Mediterranean, Tropical, Warm Dry","Our Light of Jah strain a.k.a. Jack herer is a hybrid between Indica and Sativa. Sativa is dominant with 75% against 25% Indica. Do you want to enjoy a fruity high? Light of Jah will be perfect for you. It will give you a cerebral buzz, with your senses enjoying every part.","Expert, Moderate",,relaxed,herbs,8-12 weeks,,,"of this strain is a bit mystical, although some people credit it as a cross between Jack Herer and a",,,,25.0,,html/0662ef9cd092f246.html,75.0,2026-01-14,Sativa,https://amsterdammarijuanaseeds.com/light-of-jah-feminized-seeds/,,,,22.0,,,,,,
b9dabf79-68f5-430e-b7df-9fc6464f96ae,amsterdam,Cappuccino 420 Feminized,,,,,,,,"Cold, Mediterranean, Warm Dry","The Perfect Blend of Flavor and RelaxationIndulge in the exquisite flavor of Cappuccino 420 weed, packed with the rich taste of freshly roasted coffee beans and a hint of cream. These feminized seeds are not only easy to grow but also produce buds that will leave you craving for more. Discover the perfect strain to unwind with after a long day Ã¢ÂÂ Cappuccino 420.",Easy,,energetic,,6-10 weeks,,,between the renowned Black Domina and the potent White Widow XTRM,,,,85.0,,html/06c7e95d39049d0d.html,15.0,2026-01-14,Indica,https://amsterdammarijuanaseeds.com/cappuccino-420-feminized/,,,,20.0,,,,,,
b3a5e916-fa28-4f37-9f7e-521c34f16ac3,amsterdam,Mangolicious Autoflower,,,,,,,,"Continental, Mediterranean, Temperate",The parents of this tropical Indica cannabis are a selection of the finest marijuana genetics. After 4 years of selective breeding this tropical marijuana genetics crossed with the Big Bud x White Widow Indica male. Amsterdam marijuana seeds proudly present Mangolicious.,Easy,,energetic,herbs,6-10 weeks,,,crossed with the Big Bud x White Widow Indica male,,,,85.0,,html/0a291b840f71a8e2.html,15.0,2026-01-14,Indica,https://amsterdammarijuanaseeds.com/mangolicious-autoflower/,,,,23.0,,,,,,
e15e1d54-5db5-48d1-b777-4619170e8d04,amsterdam,Happy Outdoor Mix Autoflower Seeds,,,,,,,,,"This Happy Outdoor Mix is a surprise pack of auto-flower marijuana seeds that are perfect if you want to start growing marijuana yourself. You cannot tell in advance which seeds you are getting, you can only tell when youÃ¢ÂÂre already growing your marijuana plant.",,,energetic,,,,,,,,,,,html/0be7469d4f9badf4.html,,2026-01-14,,https://amsterdammarijuanaseeds.com/happy-outdoor-mix-autoflower-seeds/,,,,,,,,,,
7357ab05-c17c-43b4-97ea-430a79c12756,amsterdam,White Nl Extreme,,,,,,,,"Cold, Continental, Mediterranean, Temperate","White NL Extreme is a mix between two powerful strains Northern Light and White Widow Extreme. This Indica dominant hybrid has enough Indica to make you feel relaxed, and just enough Sativa to make you feel creative and happy without too much sedation. Users will feel happy with a nice body high. Since this strain is Indica dominant, it is best enjoyed in the evening time. The genetics of White NL Extreme makes it good for chronic pain, stress, and lack of appetite. The buds have an aromatic earthy smell with notes of sweet citrus. Although it is recommended to grow this strain indoors, it is still possible to have a successful harvest outdoors in September-October. ItÃ¢ÂÂs an easy strain to grow with a short flowering period and really great yields.",Easy,,relaxed,herbs,6-10 weeks,,,"of White NL Extreme makes it good for chronic pain, stress, and lack of appetite",,,,70.0,,html/0c3a71630ec516fb.html,30.0,2026-01-14,Indica,https://amsterdammarijuanaseeds.com/white-nl-extreme/,,,,20.0,,,,,,
4298bd3b-7fc4-4567-9e35-2d0d45a9b2fc,amsterdam,Afghan,,,,,,,,"Continental, Temperate, Warm Dry","The Afghan strain produces sturdy cannabis plants that pests, diseases, and molds cannot call home. She is a 100% Indica variety delivering a yield full of large, sticky buds. This strain has an incredibly high THC content, with a minimum percentage of twenty.",Easy,,energetic,herbs,6-10 weeks,,,,,,,100.0,,html/11828e866c024f5c.html,0.0,2026-01-14,Indica,https://amsterdammarijuanaseeds.com/afghan/,,,,20.0,,,,,,
3332d44d-6ea0-4530-bcfa-81d7aefac74c,amsterdam,Forest Fruits Auto Feminized Marijuana Seeds,,,,,,,,"Mediterranean, Temperate, Tropical",This New York Turbo Diesel X Blueberry strain has a Blueberry flavor with a Turbo Diesel aftertaste.,Moderate,,energetic,berries,6-10 weeks,,,"and the fact that these seeds come from one of the worldÃ¢ÂÂs best seed banks, Amsterdam Marijuana Seed",,,,40.0,,html/12f62040c6f3653c.html,60.0,2026-01-14,Hybrid,https://amsterdammarijuanaseeds.com/forest-fruits-auto-feminized-marijuana-seeds/,,,,23.0,,,,,,
