seed_bank,source_url,ams_thc,ams_thc_level,ams_effects,ams_flavor,ams_climate,ams_yield,ams_seed_type,ams_indica_/_sativa,ams_plant_size,ams_grow_difficulty,ams_flowering_time,meta_viewport,meta_description,meta_robots,meta_og_locale,meta_og_type,meta_og_title,meta_og_description,meta_og_url,meta_og_site_name,meta_og_updated_time,meta_og_image,meta_og_image_secure_url,meta_og_image_width,meta_og_image_height,meta_og_image_alt,meta_og_image_type,meta_product_availability,meta_twitter_card,meta_twitter_title,meta_twitter_description,meta_twitter_site,meta_twitter_creator,meta_twitter_image,meta_twitter_label1,meta_twitter_data1,meta_twitter_label2,meta_twitter_data2,meta_generator,meta_msapplication-tileimage,description,thc_content,indica_percentage,sativa_percentage,flowering_time_min,flowering_time_max,flowering_time,effects_all,primary_effect,flavors_all,primary_flavor,strain_name,genetics_lineage,meta_og_video,meta_video_duration,meta_ya_ovs_upload_date,meta_ya_ovs_allow_embed,thc_min,thc_max,cbd_content,meta_product_price_amount,meta_product_price_currency,indoor_yield_min,indoor_yield_max
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/green-crack-autoflower-seeds/,High THC,Up to 22%,"Energetic, Happy, Uplifting","Fruity, Herbs, Skunky","Mediterranean, Temperate",Average,Sativa,20% / 80%,Tall,Easy,Fast (6-10 weeks),"width=device-width, initial-scale=1",Experience lasting happiness with Green Crack Autoflower Seeds. Enjoy an energetic effect and fabulous aroma. Discover our top-quality strains today.,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Green Crack Autoflower Seeds - Pure Good Vibes,Experience lasting happiness with Green Crack Autoflower Seeds. Enjoy an energetic effect and fabulous aroma. Discover our top-quality strains today.,https://amsterdammarijuanaseeds.com/green-crack-autoflower-seeds/,Amsterdam Marijuana Seeds,2025-12-21T04:35:39+01:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/7b9c1c30ab47b275712b582ed3639267d90314f06944d2d64b7687ab08c2e16f.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/7b9c1c30ab47b275712b582ed3639267d90314f06944d2d64b7687ab08c2e16f.jpeg,800,800,Green Crack,image/jpeg,instock,summary_large_image,Green Crack Autoflower Seeds - Pure Good Vibes,Experience lasting happiness with Green Crack Autoflower Seeds. Enjoy an energetic effect and fabulous aroma. Discover our top-quality strains today.,@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/7b9c1c30ab47b275712b582ed3639267d90314f06944d2d64b7687ab08c2e16f.jpeg,Price,"40,00$ - 100,00$",Availability,In stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,Green Crack is a marijuana strain that will turn the laziest person into a powerful battery with its energetic effect and fabulous aroma.,22,20,80,6,10,6-10 weeks,"energetic, relaxed, uplifting, creative, happy",energetic,"herbs, pine, fruity",herbs,Green Crack Autoflower Seeds,,,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/gipsy-king-feminized-seeds/,Very High THC,Up to 28%,"Body-Stoned, Creative, Energetic, Uplifting","Citrus, Pine, Spicy, Vanilla","Continental, Mediterranean, Temperate, Warm Dry",Extreme,Hybrid,60% Indica / 40% Sativa,Average,Moderate,Average (8-12 weeks),"width=device-width, initial-scale=1","Gipsy King lives up to its regal name, balanced genetics, robust growth, and rewarding harvests, this strain is a must-try for any cannabis enthusiast | AMS Exclusive","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Gipsy King® Feminized Seeds | AMS Since '96,"Gipsy King lives up to its regal name, balanced genetics, robust growth, and rewarding harvests, this strain is a must-try for any cannabis enthusiast | AMS Exclusive",https://amsterdammarijuanaseeds.com/gipsy-king-feminized-seeds/,Amsterdam Marijuana Seeds,2026-01-11T03:00:00+01:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/gipsy_king_feminized.jpg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/gipsy_king_feminized.jpg,1200,1200,gipsy king marijuana seeds,image/jpeg,instock,summary_large_image,Gipsy King® Feminized Seeds | AMS Since '96,"Gipsy King lives up to its regal name, balanced genetics, robust growth, and rewarding harvests, this strain is a must-try for any cannabis enthusiast | AMS Exclusive",@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/gipsy_king_feminized.jpg,Price,"65,00$ - 125,00$",Availability,In stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,"Prepare to be amazed by Gipsy King, a regal hybrid that combines the legendary genetics ofMOAB (Mother of all Buds)and our most powerful Kush. This carefully bred strain strikes the perfect balance between 60% Indica and 40% Sativa, delivering a versatile experience that caters to both mind and body. Whether you’re seeking creativity, focus, or relaxation, Gipsy King offers a well-rounded high that satisfies seasoned users and novices alike.",29,,,8,12,8-12 weeks,"energetic, uplifting, euphoric, creative, happy",energetic,"pine, citrus, sweet, earthy, spicy",pine,Gipsy King Feminized Seeds,of  MOAB (Mother of all Buds)  and our most powerful Kush,,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/medijuana-seeds/,Very High THC,Up to 25%,"Body-Stoned, Euphoric, Pain Relief","Citrus, Hash, Spicy, Woody","Mediterranean, Temperate, Tropical",High,Hybrid,60% / 40%,Average,"Easy, Moderate",Fast (6-10 weeks),"width=device-width, initial-scale=1",Discover the excellence of Medijuana seeds and unlock the full potential of premium cannabis strains. Order now for a remarkable cultivation journey!,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Medijuana Seeds | Premium Cannabis Since 1996,Discover the excellence of Medijuana seeds and unlock the full potential of premium cannabis strains. Order now for a remarkable cultivation journey!,https://amsterdammarijuanaseeds.com/medijuana-seeds/,Amsterdam Marijuana Seeds,2025-10-22T11:36:21+02:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/2f9ee478ae13c546dae1ddda1e55bbe763c660cd556b13c1e71febe50e8d7c7e.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/2f9ee478ae13c546dae1ddda1e55bbe763c660cd556b13c1e71febe50e8d7c7e.jpeg,1000,1000,Medijuana Regular Strain,image/jpeg,,summary_large_image,Medijuana Seeds | Premium Cannabis Since 1996,Discover the excellence of Medijuana seeds and unlock the full potential of premium cannabis strains. Order now for a remarkable cultivation journey!,@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/2f9ee478ae13c546dae1ddda1e55bbe763c660cd556b13c1e71febe50e8d7c7e.jpeg,Price,"50,00$ - 90,00$",Availability,Out of stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,"Medijuana cannabis seeds are a versatile and easy-to-grow plant that provides high-quality results. Medijuana is a hybrid of Indica and Sativa, making it the perfect choice for those who want the best of both worlds. Its effects are uplifting and euphoric, and can also be used for medicinal purposes. These characteristics make this strain very popular among medical marijuana users.",23,60,40,6,10,6-10 weeks,"energetic, relaxed, uplifting, euphoric, creative, happy",energetic,"herbs, pine, citrus, sweet, earthy, diesel, spicy",herbs,Medijuana Seeds,"and potent effects, it’s sure to give you an enjoyable experience",,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/light-of-jah-feminized-seeds/,High THC,Up to 22%,"Happy, Pain Relief, Relaxed, Social","Fruity, Herbs, Peppery, Skunky","Mediterranean, Tropical, Warm Dry",Extreme,Sativa,25% / 75%,Tall,"Expert, Moderate",Average (8-12 weeks),"width=device-width, initial-scale=1",Light of Jah feminized seeds a.k.a. Jack Herer - High-quality seeds - Unique Aroma and Flavor - Free shipping - Breeding since 1996 - Free grow guide,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Light Of Jah ® Feminized Seeds - Award Winning Strain,Light of Jah feminized seeds a.k.a. Jack Herer - High-quality seeds - Unique Aroma and Flavor - Free shipping - Breeding since 1996 - Free grow guide,https://amsterdammarijuanaseeds.com/light-of-jah-feminized-seeds/,Amsterdam Marijuana Seeds,2026-01-07T19:15:20+01:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/bb7769c7a7bfabbb7f0bd74cad52c333643a7b122cd5f1a3e5d77fa369a841bf.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/bb7769c7a7bfabbb7f0bd74cad52c333643a7b122cd5f1a3e5d77fa369a841bf.jpeg,800,800,Light of Jah Feminized Seeds,image/jpeg,instock,summary_large_image,Light Of Jah ® Feminized Seeds - Award Winning Strain,Light of Jah feminized seeds a.k.a. Jack Herer - High-quality seeds - Unique Aroma and Flavor - Free shipping - Breeding since 1996 - Free grow guide,@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/bb7769c7a7bfabbb7f0bd74cad52c333643a7b122cd5f1a3e5d77fa369a841bf.jpeg,Price,"50,00$ - 100,00$",Availability,In stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,"Our Light of Jah strain a.k.a. Jack herer is a hybrid between Indica and Sativa. Sativa is dominant with 75% against 25% Indica. Do you want to enjoy a fruity high? Light of Jah will be perfect for you. It will give you a cerebral buzz, with your senses enjoying every part.",22,25,75,8,12,8-12 weeks,"relaxed, uplifting, euphoric, creative, happy",relaxed,"herbs, pine, fruity, spicy",herbs,Light Of Jah Feminized Seeds,"of this strain is a bit mystical, although some people credit it as a cross between Jack Herer and a",,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/cappuccino-420-feminized/,High THC,Up to 21%,"Energetic, Happy, Relaxed","Coffee, Hash","Cold, Mediterranean, Warm Dry",Average,Indica,85% / 15%,Average,Easy,Fast (6-10 weeks),"width=device-width, initial-scale=1","Indulge in the exquisite taste of Cappuccino 420 weed, a perfect blend of coffee and cream. Experience relaxation and flavorful bliss. Get your seeds now!","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Cappuccino 420 Feminized Seeds - Discover Flavorful Bliss,"Indulge in the exquisite taste of Cappuccino 420 weed, a perfect blend of coffee and cream. Experience relaxation and flavorful bliss. Get your seeds now!",https://amsterdammarijuanaseeds.com/cappuccino-420-feminized/,Amsterdam Marijuana Seeds,2025-12-19T04:30:57+01:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/9ca41428822c506463401f74f9598d4b6b6edebe6ba0de0fc7ae8b609f8699b5.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/9ca41428822c506463401f74f9598d4b6b6edebe6ba0de0fc7ae8b609f8699b5.jpeg,800,800,Cappuccino 420 Feminized Seeds,image/jpeg,instock,summary_large_image,Cappuccino 420 Feminized Seeds - Discover Flavorful Bliss,"Indulge in the exquisite taste of Cappuccino 420 weed, a perfect blend of coffee and cream. Experience relaxation and flavorful bliss. Get your seeds now!",@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/9ca41428822c506463401f74f9598d4b6b6edebe6ba0de0fc7ae8b609f8699b5.jpeg,Price,"50,00$ - 100,00$",Availability,In stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,"The Perfect Blend of Flavor and RelaxationIndulge in the exquisite flavor of Cappuccino 420 weed, packed with the rich taste of freshly roasted coffee beans and a hint of cream. These feminized seeds are not only easy to grow but also produce buds that will leave you craving for more. Discover the perfect strain to unwind with after a long day – Cappuccino 420.",20,85,15,6,10,6-10 weeks,"energetic, relaxed, uplifting, creative, happy",energetic,,,Cappuccino 420 Feminized,between the renowned Black Domina and the potent White Widow XTRM,,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/mangolicious-autoflower/,High THC,Up to 23%,"Happy, Relaxed, Uplifting","Citrus, Flowery, Herbs","Continental, Mediterranean, Temperate",High,Indica,85% / 15%,Compact,Easy,Fast (6-10 weeks),"width=device-width, initial-scale=1","Mangolicious autoflower marijuana, a top strain from Amsterdam. Enjoy free global shipping ✓ Discreet ✓ Breeding top quality genetics since 1996","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Mangolicious Autoflower Marijuana Seeds,"Mangolicious autoflower marijuana, a top strain from Amsterdam. Enjoy free global shipping ✓ Discreet ✓ Breeding top quality genetics since 1996",https://amsterdammarijuanaseeds.com/mangolicious-autoflower/,Amsterdam Marijuana Seeds,2025-11-19T00:45:39+01:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/fe096c282d19d1cede71ad29fe58e750aed0903a15a35430e11eca33da937ddb.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/fe096c282d19d1cede71ad29fe58e750aed0903a15a35430e11eca33da937ddb.jpeg,800,800,Mangolicious Autoflower seeds,image/jpeg,instock,summary_large_image,Mangolicious Autoflower Marijuana Seeds,"Mangolicious autoflower marijuana, a top strain from Amsterdam. Enjoy free global shipping ✓ Discreet ✓ Breeding top quality genetics since 1996",@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/fe096c282d19d1cede71ad29fe58e750aed0903a15a35430e11eca33da937ddb.jpeg,Price,"50,00$ - 100,00$",Availability,In stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,The parents of this tropical Indica cannabis are a selection of the finest marijuana genetics. After 4 years of selective breeding this tropical marijuana genetics crossed with the Big Bud x White Widow Indica male. Amsterdam marijuana seeds proudly present Mangolicious.,23,85,15,6,10,6-10 weeks,"energetic, relaxed, uplifting, euphoric, happy",energetic,"herbs, citrus",herbs,Mangolicious Autoflower,crossed with the Big Bud x White Widow Indica male,,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/happy-outdoor-mix-autoflower-seeds/,,,Euphoric,,,Average,,,,,,"width=device-width, initial-scale=1",Buy Happy Outdoor Mix autoflower marijuana seeds from AMS! ✓ High-quality seeds ✓ Free shipping ✓ AMS since 1996 ✓ Free grow guide,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Happy Outdoor Mix Autoflower Marijuana Seeds - AMS,Buy Happy Outdoor Mix autoflower marijuana seeds from AMS! ✓ High-quality seeds ✓ Free shipping ✓ AMS since 1996 ✓ Free grow guide,https://amsterdammarijuanaseeds.com/happy-outdoor-mix-autoflower-seeds/,Amsterdam Marijuana Seeds,2025-10-22T12:18:46+02:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/a93b47e9e7b71b9440c49040c83d810b77df9545375478e46b72aa42bc11ef27.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/a93b47e9e7b71b9440c49040c83d810b77df9545375478e46b72aa42bc11ef27.jpeg,800,800,Happy Outdoor Mix Autoflower Seeds,image/jpeg,instock,summary_large_image,Happy Outdoor Mix Autoflower Marijuana Seeds - AMS,Buy Happy Outdoor Mix autoflower marijuana seeds from AMS! ✓ High-quality seeds ✓ Free shipping ✓ AMS since 1996 ✓ Free grow guide,@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/a93b47e9e7b71b9440c49040c83d810b77df9545375478e46b72aa42bc11ef27.jpeg,Price,"50,00$ - 75,00$",Availability,In stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,"This Happy Outdoor Mix is a surprise pack of auto-flower marijuana seeds that are perfect if you want to start growing marijuana yourself. You cannot tell in advance which seeds you are getting, you can only tell when you’re already growing your marijuana plant.",,,,,,,"energetic, uplifting, euphoric, creative, happy",energetic,,,Happy Outdoor Mix Autoflower Seeds,,,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/white-nl-extreme/,High THC,Up to 20%,"Body-Stoned, Pain Relief, Relaxed, Sleepy","Earthy, Herbs, Pine, Woody","Cold, Continental, Mediterranean, Temperate",High,Indica,70% / 30%,,Easy,Fast (6-10 weeks),"width=device-width, initial-scale=1","White NL XTRM Feminized Marijuana Seeds, the best Feminized strains from Amsterdam. High Quality Seeds ✓ Discrete ✓ Breeding seeds since 1996","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,White NL XTRM Feminized Marijuana Seeds,"White NL XTRM Feminized Marijuana Seeds, the best Feminized strains from Amsterdam. High Quality Seeds ✓ Discrete ✓ Breeding seeds since 1996",https://amsterdammarijuanaseeds.com/white-nl-extreme/,Amsterdam Marijuana Seeds,2026-01-12T10:50:28+01:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/ccdcb20f3005d6e2c10a53f30f3043973bd34cc2edd04592cdfc92b70f6e3279.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/ccdcb20f3005d6e2c10a53f30f3043973bd34cc2edd04592cdfc92b70f6e3279.jpeg,800,800,White NL XTRM Feminized Seeds,image/jpeg,instock,summary_large_image,White NL XTRM Feminized Marijuana Seeds,"White NL XTRM Feminized Marijuana Seeds, the best Feminized strains from Amsterdam. High Quality Seeds ✓ Discrete ✓ Breeding seeds since 1996",@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/ccdcb20f3005d6e2c10a53f30f3043973bd34cc2edd04592cdfc92b70f6e3279.jpeg,Price,"45,00$ - 100,00$",Availability,In stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,"White NL Extreme is a mix between two powerful strains Northern Light and White Widow Extreme. This Indica dominant hybrid has enough Indica to make you feel relaxed, and just enough Sativa to make you feel creative and happy without too much sedation. Users will feel happy with a nice body high. Since this strain is Indica dominant, it is best enjoyed in the evening time. The genetics of White NL Extreme makes it good for chronic pain, stress, and lack of appetite. The buds have an aromatic earthy smell with notes of sweet citrus. Although it is recommended to grow this strain indoors, it is still possible to have a successful harvest outdoors in September-October. It’s an easy strain to grow with a short flowering period and really great yields.",20,70,30,6,10,6-10 weeks,"relaxed, uplifting, euphoric, creative, happy, sleepy",relaxed,"herbs, pine, citrus, sweet, earthy",herbs,White Nl Extreme,"of White NL Extreme makes it good for chronic pain, stress, and lack of appetite",,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/afghan/,High THC,Up to 20%,"Body-Stoned, Pain Relief, Relaxed, Sleepy","Earthy, Herbs, Sweet","Continental, Temperate, Warm Dry",High,Indica,100% / 0%,Average,Easy,Fast (6-10 weeks),"width=device-width, initial-scale=1",Buy Afghan strain regular marijuana seeds from AMS! ✓ High-quality seeds ✓ Free shipping ✓ AMS since 1996 ✓ Free grow guide,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Afghan Strain Regular Marijuana Seeds - AMS,Buy Afghan strain regular marijuana seeds from AMS! ✓ High-quality seeds ✓ Free shipping ✓ AMS since 1996 ✓ Free grow guide,https://amsterdammarijuanaseeds.com/afghan/,Amsterdam Marijuana Seeds,2025-10-31T13:33:29+01:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/6bfae033d22fa628087043f22f1464eba53b784439587ebfb7175ff6ac15cb78.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/6bfae033d22fa628087043f22f1464eba53b784439587ebfb7175ff6ac15cb78.jpeg,1000,1000,Afghan Regular Marijuana Seeds,image/jpeg,instock,summary_large_image,Afghan Strain Regular Marijuana Seeds - AMS,Buy Afghan strain regular marijuana seeds from AMS! ✓ High-quality seeds ✓ Free shipping ✓ AMS since 1996 ✓ Free grow guide,@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/6bfae033d22fa628087043f22f1464eba53b784439587ebfb7175ff6ac15cb78.jpeg,Price,"50,00$ - 90,00$",Availability,In stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,"The Afghan strain produces sturdy cannabis plants that pests, diseases, and molds cannot call home. She is a 100% Indica variety delivering a yield full of large, sticky buds. This strain has an incredibly high THC content, with a minimum percentage of twenty.",20,100,0,6,10,6-10 weeks,"energetic, relaxed, uplifting, creative, happy, sleepy",energetic,"herbs, sweet, earthy, diesel",herbs,Afghan,,,,,,,,,,,,
Amsterdam Marijuana Seeds,https://amsterdammarijuanaseeds.com/forest-fruits-auto-feminized-marijuana-seeds/,High THC,Up to 23%,"Calming, Creative, Euphoric","Berries, Fruity, Fuel, Pungent","Mediterranean, Temperate, Tropical",High,Hybrid,40% / 60%,Average,Moderate,Fast (6-10 weeks),"width=device-width, initial-scale=1","Order Forest Fruit Autoflower Marijuana Seeds, the best strains from Amsterdam. Enjoy our FREE global shipping ✓Quality Seeds ✓Discrete ✓Since 1996","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",en_US,product,Forest Fruit Autoflower Marijuana Seeds - AMS,"Order Forest Fruit Autoflower Marijuana Seeds, the best strains from Amsterdam. Enjoy our FREE global shipping ✓Quality Seeds ✓Discrete ✓Since 1996",https://amsterdammarijuanaseeds.com/forest-fruits-auto-feminized-marijuana-seeds/,Amsterdam Marijuana Seeds,2025-10-22T12:28:51+02:00,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/dcd944bbc3459cd7f07d3f885891d1817748464dd3df8aae3b8cdd8dccf0aaaf.jpeg,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/dcd944bbc3459cd7f07d3f885891d1817748464dd3df8aae3b8cdd8dccf0aaaf.jpeg,800,800,Forest Fruits Autoflower Seeds,image/jpeg,,summary_large_image,Forest Fruit Autoflower Marijuana Seeds - AMS,"Order Forest Fruit Autoflower Marijuana Seeds, the best strains from Amsterdam. Enjoy our FREE global shipping ✓Quality Seeds ✓Discrete ✓Since 1996",@https://x.com/AMSandAMSB,@https://x.com/AMSandAMSB,https://amsterdammarijuanaseeds.com/wp-content/uploads/2025/10/dcd944bbc3459cd7f07d3f885891d1817748464dd3df8aae3b8cdd8dccf0aaaf.jpeg,Price,"50,00$ - 100,00$",Availability,Out of stock,"Elementor 3.34.1; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap",https://amsterdammarijuanaseeds.com/wp-content/uploads/2024/09/cropped-Logo_ams_favicon-01-270x270.png,This New York Turbo Diesel X Blueberry strain has a Blueberry flavor with a Turbo Diesel aftertaste.,23,40,60,6,10,6-10 weeks,"energetic, relaxed, uplifting, euphoric, creative, happy",energetic,"berries, diesel, fruity",berries,Forest Fruits Auto Feminized Marijuana Seeds,"and the fact that these seeds come from one of the world’s best seed banks, Amsterdam Marijuana Seed",https://player.vimeo.com/video/748680200?h=aaafbcbc31&badge=0&autopause=0&player_id=0&app_id=58479,186,9/12/2022 3:49,TRUE,,,,,,,
