seed_bank,source_url,extraction_methods_used,scraped_at,genetics,about_info,strain_name,seed_type,growth_type,terpene_profile,awards,page_title,breeder_name,data_completeness_score,quality_tier,thc_content,effects
Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-xtreme-haze,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:13.783802,from Dutch Passion. Extensive research was conducted alongside a meticulous selection process in order to produce the best result. Auto Xtreme HazeÂ® genetics are based on our classic Outlaw Amnesia variety (Amnesia x Super Haze). Auto Xtreme Haze is a potent,"Auto Xtreme Haze is a Sativa dominant autoflower variety with very potent, sticky buds and a high yield. She has a strong Haze smell and taste",Auto Xtreme Haze,Autoflower,Autoflower,"400; color: rgb(0, 0, 0);"">","cup-winners"">",Buy Auto Xtreme Haze Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-xtreme/prod_2233,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:14.086953,OutLaw x Unknown Ruderalis,Dutch Passion Seeds AutoXtreme is available to buy at the Attitude Seedbank. Visit our website to check out the whole range of cannabis seeds. We ship worldwide.,Prod_2233,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - AutoXtreme | Order Securely Online Best Quality Marijuana Seeds Souvenirs UK,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-white-widow-x-the-ultimate/prod_1974,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:14.394803,White Widow x The Ultimate,"White Widow x The Ultimate by Dutch Passion Seeds is in stock at The Attitude Seedbank - best online store with widest collection of marijuana seeds souvenirs at lowest prices. Discreet worldwide shipping. We offer discounts, promotions and extra freebies with every purchase. For more info visit our website.",Prod_1974,Autoflower,Autoflower,Stash,"cupWinnerTrump"">","Dutch Passion Seeds - White Widow x The Ultimate | Promotions, Giveaways And Extra Marijuana Seeds Souvenirs With Every Order",Dutch Passion,66.7,High,17.00-19.00%,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-white-widow/prod_2582,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:14.679670,White Widow x Unknown Ruderalis,Dutch Passion Auto White Widow is now available at The Attitude Seedbank. Visit our website for a wide range of autoflowering cannabis seeds from Dutch Passion,Prod_2582,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - AutoWhite Widow | Buy Medical Cannabis Seeds At Low Prices UK,Dutch Passion,72.4,High,15-20%,"relaxing, cerebral"
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-white-widow/prod_411,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:14.947646,1980's F1 White Widow Genetics,Dutch Passion Seeds White Widow is available to buy at the Attitude Seedbank - best online store with widest collection of cannabis seeds souvenirs. Discreet worldwide shipping.,Prod_411,Autoflower,Autoflower,Stash,winner of several cannabis seeds competitions. Plant of a White Widow is made from big fan leaves covered with white glands. Its high is soft but great.,Dutch Passion Seeds - White Widow | Lowest Prices For Top Quality Cannabis Seeds Souvenirs UK,Dutch Passion,59.8,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/white-widow,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:15.339112,used for White Widow guarantee the following properties:,"Get the legendary White Widow original feminised cannabis seeds: fast-growing, potent buds with a classic spicy-pine aroma, high THC, and easy to grow!",White Widow,Autoflower,Autoflower,"400;"">","cup-winners"">",Buy White Widow Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-ultimate/prod_2744,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:15.690020,The Ultimate x Auto Mazar,"One of the heaviest yielding automatics to come from Dutch Passion. AutoUltimate is the AutoFem version of our bestseller â€˜The Ultimateâ€™. Place an order securely online on our website or over the phone for discounts, promotions and extra freebies.",Prod_2744,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Auto Ultimate - Dutch Passion Seeds | Order Securely Online Best Quality Marijuana Seeds UK,Dutch Passion,59.8,Medium,,
Dutch Passion,https://dutch-passion.us/cannabis-seeds/auto-ultimate,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:16.114460,come from our original photoperiod parent The Ultimate.,Auto Ultimate is a world-class autoflower with a proven track record of several hundred-gram harvests of big frosty buds with a citrus aroma and very high THC.,Auto Ultimate,Autoflower,Autoflower,"block; margin-left: auto; margin-right: auto; width: 500px; height: 500px;"" width=""500""/>","cup-winners"">",Buy Auto Ultimate Cannabis Seeds | Dutch Passion USA,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-trichome-and-cream/prod_7707,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:16.471760,Cookies & Cream (Starfighter x Girl Scout Cookies) x Autoflower,"Dutch Passion Seeds Auto Trichome & Cream cannabis seeds are available to buy online at The Attitude Seedbank. Worldwide shipping, discreet shipping, promotions and freebies.",Prod_7707,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds | Dutch Passion Seeds Auto Trichome & Cream,Dutch Passion,59.8,Medium,,
Dutch Passion,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-think-different/prod_405,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:24:16.744201,AK47 Hybrid,The Attitude Seedbank offers discreet worldwide shipping of feminized Think Different Autoflowering. Place an order securely online or over the phone and get extra free cannabis seeds souvenirs. Widest range of Dutch Passion Seeds.,Prod_405,Autoflower,Autoflower,Stash,"cupWinnerTrump"">",Dutch Passion Seeds - Think Different Autoflowering | High Quality Feminized Automatic Cannabis Varieties UK,Dutch Passion,66.7,High,15-20%,
