strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
f9652719-7a3a-4279-b464-89fc92760649,royal_queen_seeds,"White
																								Widow",,,,,,,,,"With sativa, indica, and ruderalis, White Widow Auto produces a slightly spicy smoke and a hard-hitting,  relaxing high hardly found in other strains.",,Balanced Hybrid,,,,,F1,,,,,40,False,html/3af0fa41e94a4d05.html,40,2026-01-12T17:24:50.363836,,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/178-white-widow-automatic.html,,,,14.0,14.0,14.0,,,,,Royal Queen Seeds
6306bd0f-dae9-4bbb-ad77-9f87da69d731,royal_queen_seeds,"White
																								Widow",,s created our own version of this classic using Wh,,,,,,,"Created with award-winning genetics, the sativa-dominant crystalline buds of White Widow exert energetic effects and treat users to fruity tastes.",,Balanced Hybrid,,,,,F1,,,,,50,True,html/6deaed0247a4591b.html,50,2026-01-12T17:24:50.673785,,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/122-white-widow.html,,3.0,,19.0,19.0,19.0,,,,,Royal Queen Seeds
049852c6-821f-4f87-8d88-363e8a536015,royal_queen_seeds,"Tropicana
																								Cookies
																								Purple",,s created this sativa-dominant hybrid by crossing,,,,,,,Get Tropicana Cookies Purple Auto seeds and enjoy unbelievably fruity flavours paired with high levels of THC and a motivating and uplifting high.,,Sativa,,,,,F1,,,,,35,False,html/6ed840e60945cf1e.html,60,2026-01-12T17:24:50.988030,,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/679-tropicana-cookies-purple-automatic.html,,,,20.0,20.0,20.0,,,,,Royal Queen Seeds
503aa9d1-445a-4b1a-9383-6d23a4b7c451,royal_queen_seeds,"Triple
																								G",,s at Royal Queen Seeds set out to create Triple G,,,,,,,"Triple G Auto has it all. This Premium USA strains boasts high levels of THC, sweet terpenes, a rapid growing cycle, and rewarding yields.",,Sativa,,,,,F1,,,,60-120 cm,15,False,html/ce3c02ea704f5fc9.html,80,2026-01-12T17:24:51.290248,,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/572-triple-g-automatic.html,,,,20.0,20.0,20.0,,,,,Royal Queen Seeds
9c063bf0-b742-4391-b41d-5d6177588e05,royal_queen_seeds,Trainwreck,,,,,,,,,"The autoflowering version of Trainwreck, Trainwreck Auto retains many of its parent strain's celebrated traits, including the multifaceted aroma and happy high.",,Sativa,,,,,F1,,,,80-130 cm,15,True,html/4b3d36b38e39716e.html,85,2026-01-12T17:24:51.615790,,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/657-trainwreck-automatic.html,,,,19.0,19.0,19.0,,,,,Royal Queen Seeds
822542d5-24e1-49f9-9c3a-c73745da10f9,royal_queen_seeds,Trainwreck,,,,,,,,,"Uplifting, euphoric effects and a complex aroma, courtesy of cosmopolitan genetics in our Trainwreck cannabis seeds. Learn more and buy the strain here!",,Sativa,,,,,F1,,,,,10,True,html/4610a669e63fe114.html,90,2026-01-12T17:24:51.865879,,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/655-trainwreck.html,,,,19.0,19.0,19.0,,,,,Royal Queen Seeds
88d0386a-2d9a-4d13-adbb-58e8fdd079f1,royal_queen_seeds,"Tatanka
																								Pure
																								CBD",,,,,,,,,Tatanka Pure CBD is a therapeutic strain inspired by the famous Native American medicine man Tatanka Iyotake. It offers medicinal effects without a high.,,Indica,,,,,F1,,,,,70,True,html/2f35ad359dfcdeb5.html,30,2026-01-12T17:24:52.147108,,https://www.royalqueenseeds.com/us/cbd-seeds/480-tatanka-pure-cbd.html,,,,0.3,0.3,0.3,,,,,Royal Queen Seeds
79df46e3-c7d0-4bd6-9035-e0d3368c9c28,royal_queen_seeds,Tangie,,"s, growing this mighty sativa queen at home couldn",,,,,,,Tangie is a high-powered hybrid strain of California Orange x Skunk with over 20% THC. Get Tangie seeds at RQS now and grow delicious sativa buds today!,,Sativa,,,,,F1,,,,,30,False,html/49c13b9cf6d8813e.html,70,2026-01-12T17:24:52.478059,,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/677-tangie.html,,,,20.0,20.0,20.0,,,,,Royal Queen Seeds
0fae8bf0-9b01-4ca4-8685-8883f308f74b,royal_queen_seeds,"Sweet
																								ZZ",,s created Sweet ZZ Auto seeds using premium parent,,,,,,,"Sweet ZZ Auto is an indica-dominant hybrid. Boasting a THC level of 18%, she's one of the most potent autos you can find. Get seeds here!",,Indica,,,,,F1,,,,,60,False,html/5b1d9796ef027694.html,35,2026-01-12T17:24:52.805781,,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/492-sweet-zz-automatic.html,,3.0,,18.0,18.0,18.0,,,,,Royal Queen Seeds
b49027eb-de7e-4d60-8c49-7a5391b0302b,royal_queen_seeds,"Sweet
																								Skunk",,,,,,,,,"Lovers of classic Skunk will enjoy this tasty cross of Early Skunk and Critical Mass Auto. This strains boasts dense balls of herb with musky, spicy flavors.",,Indica,,,,,F1,,,,,60,False,html/0f2af1662ef1f1a5.html,10,2026-01-12T17:24:53.187281,,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/181-sweet-skunk-automatic.html,,,,15.0,15.0,15.0,,,,,Royal Queen Seeds
736b8b46-9972-408f-8374-0f0defa7dec8,royal_queen_seeds,"Stress
																								Killer
																								Automatic
																								CBD",,,,,,,,,"Stress Killer Automatic does as its name suggests! This cross of Juanita la Lagrimosa and Lemon Haze melts worrisome thoughts with a yummy, citrusy smoke.",,Sativa,,,,,F1,,,,90-140 cm,30,False,html/98d3b0204588c5e8.html,60,2026-01-12T17:24:53.492589,,https://www.royalqueenseeds.com/us/cbd-seeds/327-stress-killer-automatic-cbd.html,,,,11.0,11.0,11.0,,,,,Royal Queen Seeds
5847ab85-f572-49b2-815b-c2e11018ee28,royal_queen_seeds,"Sticky
																								Queen",2010.0,,,,,,,,Buy Sticky Queen Auto seeds if you're looking for rapid growing times and good yields. Flavours of citrus and pine accompany an uplifting yet relaxing high!,,Sativa,,,,,F1,"Packs									


										Seeds Collection									
																ÃÂ  
 


See all


																	USA Premium																



																	Cup Winners																



																	Best Cannabis Seeds																



																	New Strains																





Variety 



																	High THC																



																	Low THC																



																	Beginner																



																	Sativa																



																	Indica																



																	High CBD																



																	CBG",,,,35,True,html/063e26e6c842aec8.html,60,2026-01-12T17:24:53.837464,,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/714-sticky-queen-automatic.html,,1.0,,20.0,20.0,20.0,,,,,Royal Queen Seeds
46cc24ef-c7f7-4507-8192-2d5b225783f7,royal_queen_seeds,"Sticky
																								Queen",,s created this hard-hitting variety by starting ou,,,,,,,Buy Sticky Queen feminized seeds and enjoy bulky yields packed with THC. Her complex flavour profile and stoning high make every smoking session a delight.,,Sativa,,,,,F1,,,,,40,False,html/0b3860139c50e2a4.html,60,2026-01-12T17:24:54.166021,,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/712-sticky-queen.html,,,,23.0,23.0,23.0,,,,,Royal Queen Seeds
a7b9b9bd-8a73-4404-bbd3-d27f2c05b409,royal_queen_seeds,"Special
																								Queen
																								1",,s and sellers to find that ultimate skunk,,,,,,,"Special Queen 1 is a 50/50 hybrid strain with a classic Skunk high. As a mix of Power Bud and Skunk, this strain is good for nerve pain, insomnia, and anxiety.",,Balanced Hybrid,,,8-9 weeks,,F1,,,,,50,False,html/ab33067310996a93.html,50,2026-01-12T17:24:54.473795,,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/139-special-queen-1.html,,,,18.0,18.0,18.0,,,,,Royal Queen Seeds
15200833-ce92-42a9-b098-858a9d2327a0,royal_queen_seeds,"Special
																								Kush
																								1",,,,,,,,,"Special Kush 1, created by RQS, is an indica-dominant cross that wonÃ¢ÂÂt disappoint. SheÃ¢ÂÂs heavy-hitting and prefers warm growing environments for best results.",,Indica,,,,,F1,,,,,80,False,html/6be7e715659063de.html,20,2026-01-12T17:24:54.781414,,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/138-special-kush-1.html,,,,17.0,17.0,17.0,,,,,Royal Queen Seeds
48482353-fe8c-4d98-bb1d-ce2a90e02bd1,royal_queen_seeds,"Sour
																								Diesel",,s used a host of legendary strains to create Sour,,,,,,,"AKA Sour D, this is a sativa dominant strain named after its diesel aroma. THC content around 25%, delivers a head high that makes it a great medicinal strain.",,Sativa,,,,,F1,,,,,30,False,html/e3158cc98feada25.html,70,2026-01-12T17:24:55.113788,,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/185-sour-diesel.html,,,,19.0,19.0,19.0,,,,,Royal Queen Seeds
