seed_bank,source_url,meta_viewport,meta_robots,meta_og_locale,meta_description,meta_og_title,meta_og_description,meta_og_image,meta_og_url,meta_og_type,meta_og_site_name,meta_twitter_title,meta_twitter_description,meta_twitter_image,meta_twitter_card,meta_product-availability,thc_min,thc_max,thc_avg,strain_name,thc_percentage
ILGM,https://ilgm.com/products/critical-mass-feminized-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Critical Mass Feminized is an 18–22% THC indica-dominant strain with skunky-citrus flavor, calm clarity, and heavy body relaxation for evening use.",Buy Critical Mass Feminized cannabis seeds - ILGM,"Critical Mass Feminized is an 18–22% THC indica-dominant strain with skunky-citrus flavor, calm clarity, and heavy body relaxation for evening use.",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Critical_Mass_4-5_109926c4_thumbnail_512.webp,https://ilgm.com/critical-mass-feminized-seeds,product,ILGM,Buy Critical Mass Feminized cannabis seeds - ILGM,"Critical Mass Feminized is an 18–22% THC indica-dominant strain with skunky-citrus flavor, calm clarity, and heavy body relaxation for evening use.",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Critical_Mass_4-5_109926c4_thumbnail_512.webp,summary_large_image,out of stock,18,22,20,Critical Mass Feminized,
ILGM,https://ilgm.com/products/chronic-widow-feminized-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,Chronic Widow is a high-potency marijuana strain that delivers energetic to relaxed effects. | Free Discreet Shipping,Buy Chronic Widow Seeds | Germination Guarantee | ILGM,Chronic Widow is a high-potency marijuana strain that delivers energetic to relaxed effects. | Free Discreet Shipping,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Chronic_Widow_4-5_e15f59f4_thumbnail_512.webp,https://ilgm.com/chronic-widow-feminized-seeds,product,ILGM,Buy Chronic Widow Seeds | Germination Guarantee | ILGM,Chronic Widow is a high-potency marijuana strain that delivers energetic to relaxed effects. | Free Discreet Shipping,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Chronic_Widow_4-5_e15f59f4_thumbnail_512.webp,summary_large_image,out of stock,,,,Chronic Widow Feminized,
ILGM,https://ilgm.com/products/gelonade-autoflower-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Gelonade Autoflower is a High Times Cup-winning marijuana strain that delivers energetic, giggly highs. | Free Discreet Shipping",Buy Gelonade Autoflower Seeds | Germination Guarantee | ILGM,"Gelonade Autoflower is a High Times Cup-winning marijuana strain that delivers energetic, giggly highs. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Gelonade_4-5_Autoflower_6c10f4e2_thumbnail_512.webp,https://ilgm.com/gelonade-autoflower-seeds,product,ILGM,Buy Gelonade Autoflower Seeds | Germination Guarantee | ILGM,"Gelonade Autoflower is a High Times Cup-winning marijuana strain that delivers energetic, giggly highs. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Gelonade_4-5_Autoflower_6c10f4e2_thumbnail_512.webp,summary_large_image,out of stock,,,,Gelonade Autoflower,
ILGM,https://ilgm.com/products/carma-cbd-feminized-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,Carma is a high CBD industrial hemp strain with some of the richest levels of cannabinoids! Grow pesticide & GMO-free Carma seeds from ILGM.,Buy Feminized Carma CBD Seeds - USA Shipping >> ILGM,Carma is a high CBD industrial hemp strain with some of the richest levels of cannabinoids! Grow pesticide & GMO-free Carma seeds from ILGM.,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Carmagnola_4-5_500176e2_thumbnail_512.webp,https://ilgm.com/carma-cbd-feminized-seeds,product,ILGM,Buy Feminized Carma CBD Seeds - USA Shipping >> ILGM,Carma is a high CBD industrial hemp strain with some of the richest levels of cannabinoids! Grow pesticide & GMO-free Carma seeds from ILGM.,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Carmagnola_4-5_500176e2_thumbnail_512.webp,summary_large_image,out of stock,,,,Carma Cbd Feminized,
ILGM,https://ilgm.com/products/green-crack-feminized-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,Green Crack is a Snoop Dogg renamed classic with a citrus-mango Skunk flavor. | Free Discreet Shipping,Buy Green Crack Seeds | Germination Guarantee | ILGM,Green Crack is a Snoop Dogg renamed classic with a citrus-mango Skunk flavor. | Free Discreet Shipping,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Green_Crack_2dd6baef_thumbnail_512.webp,https://ilgm.com/green-crack-feminized-seeds,product,ILGM,Buy Green Crack Seeds | Germination Guarantee | ILGM,Green Crack is a Snoop Dogg renamed classic with a citrus-mango Skunk flavor. | Free Discreet Shipping,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Green_Crack_2dd6baef_thumbnail_512.webp,summary_large_image,out of stock,,,,Green Crack Feminized,
ILGM,https://ilgm.com/products/pineapple-haze-feminized-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Pineapple Haze is a fruity weed that tastes like ripe pineapple and delivers energetic, uplifted effects. | Free Discreet Shipping",Buy Pineapple Haze Seeds | Germination Guarantee | ILGM,"Pineapple Haze is a fruity weed that tastes like ripe pineapple and delivers energetic, uplifted effects. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Pineapple_Haze_4-5_7e00ef1c_thumbnail_512.webp,https://ilgm.com/pineapple-haze-feminized-seeds,product,ILGM,Buy Pineapple Haze Seeds | Germination Guarantee | ILGM,"Pineapple Haze is a fruity weed that tastes like ripe pineapple and delivers energetic, uplifted effects. | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Pineapple_Haze_4-5_7e00ef1c_thumbnail_512.webp,summary_large_image,out of stock,,,,Pineapple Haze Feminized,
ILGM,https://ilgm.com/products/do-si-dos-feminized-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Buy Do-Si-Dos seeds with discreet shipping, and guaranteed arrival & germination! Our Do Si Dos feminized cannabis seeds are potent a strain with high THC...",Do Si Dos Feminized Seeds For Sale - ILGM,"Buy Do-Si-Dos seeds with discreet shipping, and guaranteed arrival & germination! Our Do Si Dos feminized cannabis seeds are potent a strain with high THC...",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Do-Si-Dos_28afb5a8_thumbnail_512.webp,https://ilgm.com/do-si-dos-feminized-seeds,product,ILGM,Do Si Dos Feminized Seeds For Sale - ILGM,"Buy Do-Si-Dos seeds with discreet shipping, and guaranteed arrival & germination! Our Do Si Dos feminized cannabis seeds are potent a strain with high THC...",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Do-Si-Dos_28afb5a8_thumbnail_512.webp,summary_large_image,out of stock,,,,Do Si Dos Feminized,
ILGM,https://ilgm.com/products/purple-kush-autoflower-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Purple Kush Autoflower is a true-purple grape-berry flavored weed with euphoric, giggly effects | Free Discreet Shipping",Buy Purple Kush Autoflower Seeds | Germination Guarantee,"Purple Kush Autoflower is a true-purple grape-berry flavored weed with euphoric, giggly effects | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Purple_Kush_4-5_Autoflower_f7c2af21_thumbnail_512.webp,https://ilgm.com/purple-kush-autoflower-seeds,product,ILGM,Buy Purple Kush Autoflower Seeds | Germination Guarantee,"Purple Kush Autoflower is a true-purple grape-berry flavored weed with euphoric, giggly effects | Free Discreet Shipping",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Purple_Kush_4-5_Autoflower_f7c2af21_thumbnail_512.webp,summary_large_image,out of stock,,,,Purple Kush Autoflower,
ILGM,https://ilgm.com/products/blueberry-autoflower-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,Fruity and potent Blueberry Auto delivers a calming Indica high. Ideal for stress relief. ✅ Free & discreet delivery. From $9.45 per seed,Blueberry Autoflower Seeds For Sale - ILGM,Fruity and potent Blueberry Auto delivers a calming Indica high. Ideal for stress relief. ✅ Free & discreet delivery. From $9.45 per seed,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blueberry_Autoflower_f6ccc8ca_thumbnail_512.webp,https://ilgm.com/blueberry-autoflower-seeds,product,ILGM,Blueberry Autoflower Seeds For Sale - ILGM,Fruity and potent Blueberry Auto delivers a calming Indica high. Ideal for stress relief. ✅ Free & discreet delivery. From $9.45 per seed,https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blueberry_Autoflower_f6ccc8ca_thumbnail_512.webp,summary_large_image,out of stock,,,,Blueberry Autoflower,
ILGM,https://ilgm.com/products/blue-dream-autoflower-seeds,"width=device-width, initial-scale=1, maximum-scale=1","index, follow",en_US,"Blue Dream Autoflower is a balanced hybrid with sweet berry flavor and uplifting effects. Perfect for daytime focus, creativity, and stress relief.",Buy Blue Dream Autoflower cannabis seeds - ILGM,"Blue Dream Autoflower is a balanced hybrid with sweet berry flavor and uplifting effects. Perfect for daytime focus, creativity, and stress relief.",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_Autoflower_a608d0a5_thumbnail_512.webp,https://ilgm.com/blue-dream-autoflower-seeds,product,ILGM,Buy Blue Dream Autoflower cannabis seeds - ILGM,"Blue Dream Autoflower is a balanced hybrid with sweet berry flavor and uplifting effects. Perfect for daytime focus, creativity, and stress relief.",https://ilgm-production-us.saleor.cloud/media/thumbnails/products/Blue_Dream_Autoflower_a608d0a5_thumbnail_512.webp,summary_large_image,out of stock,,,,Blue Dream Autoflower,
