source_url,seed_bank,scraped_at,strain_name,breeder_name,description,yield,flowering_time,strain_type,feelings,seed_type,grow_difficulty,plant_height,thc_content,cbd_content
https://neptuneseedbank.com/product/nasha-genetics-zz-bang/,Neptune Seed Bank,2026-01-08T03:17:18.023565,Nasha Genetics - ZZ Bang,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/secret-society-seed-co-zuzu-fruit/,Neptune Seed Bank,2026-01-08T03:17:18.247695,Secret Society Seed Co. - ZuZu Fruit,Secret Society Seed Co.,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/nasha-genetics-zushlato/,Neptune Seed Bank,2026-01-08T03:17:18.421639,Nasha Genetics - Zushlato,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/zushi-kuro-strain/,Neptune Seed Bank,2026-01-08T03:17:18.647387,In House Genetics - Zushi Kuro,In House Genetics,"Product description
Zushi Kuro Strain Feminized Seeds by In House Genetics
Zushi Kuro strain by In House Genetics is an elite dessert-gas hybrid that fuses the deep cherry sweetness of Black Cherry Pie with the exotic blueberry cream and gas of Blue Zushi. Sold in a 6-pack of feminized seeds, this strain was bred for flavor hunters, hashmakers, and connoisseurs seeking resin-heavy flowers with striking color and high-end terp appeal.

 Lineage
Black Cherry Pie x Blue ZushiType: Feminized SeedsPack Size: 6 SeedsDominant Type: Indica-Leaning Hybrid

 Aroma, Flavor & Terpenes
Zushi Kuro strain boasts a luxurious dessert terp profile with layers of cherry syrup, blueberry candy, vanilla cream, and gassy undertones. The Black Cherry Pie side contributes richness and color, while Blue Zushi enhances sweetness and adds creamy fuel for a smooth, flavorful smoke with balanced depth and power.

⚡ Effects & Experience
Expect a euphoric, uplifting onset followed by a relaxing, full-body calm. Zushi Kuro is perfect for:


 Evening relaxation


 Creative inspiration or social unwinding


️ Flavor lovers who enjoy rich, dessert-style gas



 Growing Info


Height: Medium with sturdy branching and dense bud formation


Flowering Time: 8-9 weeks


Appearance: Frost-laden buds with deep purple, blue, and green hues


Resin Output: Extremely high—ideal for rosin or hash extractions



 Why Choose Zushi Kuro by In House Genetics?


 Cherry dessert terps meet blueberry gas and creamy sweetness


 Feminized seeds for stable, consistent phenotypes


 Indica-leaning hybrid with euphoric, relaxing effects


 Part of the exclusive In House Zushi breeding line



 Available Now at Neptune Seed Bank
Order Zushi Kuro feminized seeds today at NeptuneSeedBank.com. Verified clones may be sourced via KingKongClones.com. Premium THCA flower can be found at PackTrapper.com or purchased wholesale through Trapgods.io. Explore mushroom-based wellness products at Mycological.co.

 Similar Strains from Neptune Seed Bank:


Blue Zushi hybrids


Black Cherry Pie crosses


Indica dessert gas feminized seeds



 About In House Genetics
In House Genetics is a globally recognized breeder known for creating frost-heavy, terpene-rich cultivars that define modern exotic cannabis. With Zushi Kuro, they’ve perfected a cross that delivers intense flavor, vivid color, and resin-soaked flowers built for both extraction and premium flower production.",Medium - High,60 - 65 days,Indical Leaning Hybrid,"calm, Euphoric, relaxed",Feminized,Easy,High,,
https://neptuneseedbank.com/product/in-house-genetics-zurkle-f-1-2pack/,Neptune Seed Bank,2026-01-08T03:17:18.845890,In House Genetics - Zurkle (Feminized) 1/2pack,In House Genetics,Product description,,,,,,,,,
https://neptuneseedbank.com/product/nasha-genetics-zuper-doh/,Neptune Seed Bank,2026-01-08T03:17:19.033290,Nasha Genetics - Zuper Doh,Nasha Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/raw-genetics-zuni-f-1-2-pack/,Neptune Seed Bank,2026-01-08T03:17:19.229684,Raw Genetics - Zuni (Feminized) 1/2 pack,Raw Genetics,"Product description
We encourage all customers to follow the laws set forth by their Country, State / Province and local municipalities. Any Seeds sold will be considered sold FOR NOVELTY PURPOSES ONLY! We take no responsibility if they are used in any fashion that can be considered illicit or illegal. All sales are final.
All Seeds are considered HEMP Seeds by law. Every seed tested contained less than 0.03% THC",,,,,,,,,
https://neptuneseedbank.com/product/raw-genetics-zunami-f/,Neptune Seed Bank,2026-01-08T03:17:19.409015,Raw Genetics - Zoonami (F),Raw Genetics,"Product description
Zoonami Feminized Seeds - Zoap x Blue Slushi (Indica)
Buy Zoonami Cannabis Seeds Online - Premium Indica Hybrid
Zoonami cannabis seeds bring together the best of Zoap and Blue Slushi genetics to create an exotic, potent indica-dominant hybrid. This strain is known for its rich, fruity aroma blended with sweet tropical notes and a refreshing soapy finish. Zoonami delivers a euphoric mental high followed by full-body relaxation, making it the perfect choice for unwinding at the end of the day.
The buds of Zoonami are a visual masterpiece—dense, sticky, and coated in trichomes with hues of purple, green, and blue. Bright orange pistils wind through the frosty surface, giving Zoonami its striking, premium bag appeal. Whether you’re growing indoors or outdoors, this strain is a strong performer with harvests of up to 550g/m² and a flowering time of just 8-9 weeks on a 12/12 light schedule.
Medicinal users value Zoonami for its potential to relieve chronic pain, stress, depression, and nausea. With its balance of uplifting cerebral effects and soothing body calm, Zoonami makes a versatile choice for both recreational and therapeutic use. This strain is easy to grow, resin-rich, and highly suitable for solventless extraction.

Why Choose Zoonami Feminized Seeds?


Potent Zoap x Blue Slushi genetics


Dense, colorful buds with heavy trichome production


Unique fruity and soapy aroma


Euphoric, relaxing effects for evening use


High indoor/outdoor yields in just 8-9 weeks


Zoonami is a must-grow for connoisseurs and commercial cultivators alike. Order Zoonami feminized seeds nowfrom Neptune Seed Bank and bring top-shelf flavor, effects, and yield into your garden.

Similar Strains You’ll Love


Blue Slushee by Raw Genetics


Zoap x Lemon Cherry Gelato


The Soap by Seed Junky Genetics


Hood Candyz


Runtz x Blueberry Slush



Join the Neptune Seed Bank Community
Ready to elevate your grow? Buy Zoonami cannabis seeds now and experience premium quality and unmatched flavor. Be sure to follow us on Instagram, X, YouTube, and TikTok for new drops and breeder releases.Join our Discord server and subscribe to the newsletter to stay in the loop on giveaways and exclusive seed drops.",Medium - High,60 - 65 days,,,,,,,
https://neptuneseedbank.com/product/n-y-ceeds-zubway-seriez-f/,Neptune Seed Bank,2026-01-08T03:17:19.623240,N.Y. Ceeds - Zubway Seriez (F),N.Y. Ceeds,Product description,,,,,,,,,
https://neptuneseedbank.com/product/canna-research-co-ztrufflez-s1-f/,Neptune Seed Bank,2026-01-08T03:17:19.831369,Canna Research Co. - Ztrufflez S1 (F),Canna Research Co.,Product description,,,,,,,,,
